,bias_bits,row,v_nodes,c_nodes,ts_size,sim_index,snr
50,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 42 44 57 58 90],[ 3  4 10 15 22 25 27 31 32 36 40 43],"[6.0, 12.0]",23,5
51,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 17 27 42 44 45 58 68 89],[ 3  4 10 11 15 18 23 25 36 40 43],"[9.0, 11.0]",24,5
52,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 42 44 90],[ 3 10 27 31 43 44],"[4.0, 6.0]",25,5
53,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[17 27 45 68 89 90],[11 15 18 22 23 27 32 40],"[6.0, 8.0]",26,5
54,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[ 1 45 58 89],[11 15 25 27],"[4.0, 4.0]",27,5
55,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[27 44 45 89],[ 3  4 11 15 18 31 32 43],"[4.0, 8.0]",28,5
56,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]",1,[27 57 68 89 90],[ 4 18 23 27 36],"[5.0, 5.0]",29,5
57,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[40],[15 28 37],"[1.0, 3.0]",0,5
58,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 40 83],[ 8 28 37 38 46],"[3.0, 5.0]",1,5
59,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[83],[ 8 17 46],"[1.0, 3.0]",2,5
60,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 40],[17 28 37 38],"[2.0, 4.0]",3,5
61,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[26 29 40 83],[ 7 15 26 28 38 46],"[4.0, 6.0]",4,5
62,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 29],[ 8 15 17 26],"[2.0, 4.0]",5,5
63,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[29 40 83],[15 17 26 28 37 38 46],"[3.0, 7.0]",6,5
64,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 26 29 40],[ 7  8 26 28],"[4.0, 4.0]",7,5
65,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 40 83],[ 8 28 37 38 46],"[3.0, 5.0]",8,5
66,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 26],[ 7 15 37 38],"[2.0, 4.0]",9,5
67,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[26 83],[ 7  8 37 46],"[2.0, 4.0]",10,5
68,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[2],[15 17 38],"[1.0, 3.0]",11,5
69,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[29 83],[17 26 38 46],"[2.0, 4.0]",12,5
70,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 26 40],[ 7 28 38],"[3.0, 3.0]",13,5
71,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 26],[ 7 15 37 38],"[2.0, 4.0]",14,5
72,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[26],[ 7 17 37],"[1.0, 3.0]",15,5
73,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 29 40 83],[26 28 37 46],"[4.0, 4.0]",16,5
74,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[29 40 83],[15 17 26 28 37 38 46],"[3.0, 7.0]",17,5
75,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[26 40],[ 7 15 17 28],"[2.0, 4.0]",18,5
76,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[29 40 83],[15 17 26 28 37 38 46],"[3.0, 7.0]",20,5
77,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[40 83],[ 8 15 17 28 37 46],"[2.0, 6.0]",21,5
78,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[26 29 40],[ 7  8 15 17 26 28 38],"[3.0, 7.0]",22,5
79,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 40 83],[ 8 28 37 38 46],"[3.0, 5.0]",23,5
80,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 26 40],[ 7 28 38],"[3.0, 3.0]",24,5
81,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 29 40 83],[26 28 37 46],"[4.0, 4.0]",25,5
82,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 40],[17 28 37 38],"[2.0, 4.0]",26,5
83,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[26 29 83],[ 7 26 37 38 46],"[3.0, 5.0]",27,5
84,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[ 2 26 29],[ 7  8 15 26 37],"[3.0, 5.0]",28,5
85,"[2.0, 26.0, 29.0, 40.0, 83.0]",2,[2],[15 17 38],"[1.0, 3.0]",29,5
86,"[3.0, 25.0, 73.0]",3,[73],[12 19 37],"[1.0, 3.0]",0,5
87,"[3.0, 25.0, 73.0]",3,[25],[11 19 40],"[1.0, 3.0]",3,5
88,"[3.0, 25.0, 73.0]",3,[ 3 25 73],[12 21 40],"[3.0, 3.0]",4,5
89,"[3.0, 25.0, 73.0]",3,[ 3 25],[19 21 37 40],"[2.0, 4.0]",5,5
90,"[3.0, 25.0, 73.0]",3,[ 3 25 73],[12 21 40],"[3.0, 3.0]",6,5
91,"[3.0, 25.0, 73.0]",3,[73],[12 19 37],"[1.0, 3.0]",8,5
92,"[3.0, 25.0, 73.0]",3,[ 3 25],[19 21 37 40],"[2.0, 4.0]",9,5
93,"[3.0, 25.0, 73.0]",3,[ 3 73],[11 12 19 21],"[2.0, 4.0]",10,5
94,"[3.0, 25.0, 73.0]",3,[3],[11 21 37],"[1.0, 3.0]",11,5
95,"[3.0, 25.0, 73.0]",3,[ 3 25 73],[12 21 40],"[3.0, 3.0]",13,5
96,"[3.0, 25.0, 73.0]",3,[ 3 73],[11 12 19 21],"[2.0, 4.0]",14,5
97,"[3.0, 25.0, 73.0]",3,[ 3 73],[11 12 19 21],"[2.0, 4.0]",15,5
98,"[3.0, 25.0, 73.0]",3,[25],[11 19 40],"[1.0, 3.0]",16,5
99,"[3.0, 25.0, 73.0]",3,[25 73],[11 12 37 40],"[2.0, 4.0]",17,5
100,"[3.0, 25.0, 73.0]",3,[ 3 73],[11 12 19 21],"[2.0, 4.0]",18,5
101,"[3.0, 25.0, 73.0]",3,[ 3 73],[11 12 19 21],"[2.0, 4.0]",19,5
102,"[3.0, 25.0, 73.0]",3,[25 73],[11 12 37 40],"[2.0, 4.0]",20,5
103,"[3.0, 25.0, 73.0]",3,[25],[11 19 40],"[1.0, 3.0]",21,5
104,"[3.0, 25.0, 73.0]",3,[25 73],[11 12 37 40],"[2.0, 4.0]",22,5
105,"[3.0, 25.0, 73.0]",3,[25 73],[11 12 37 40],"[2.0, 4.0]",23,5
106,"[3.0, 25.0, 73.0]",3,[3],[11 21 37],"[1.0, 3.0]",25,5
107,"[3.0, 25.0, 73.0]",3,[73],[12 19 37],"[1.0, 3.0]",26,5
108,"[3.0, 25.0, 73.0]",3,[73],[12 19 37],"[1.0, 3.0]",27,5
109,"[3.0, 25.0, 73.0]",3,[73],[12 19 37],"[1.0, 3.0]",29,5
110,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 22 34 43 67],[ 2  8  9 16 27 29 34 42 46],"[5.0, 9.0]",0,5
111,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 22 43 63 70 81 95],[ 5  9 14 16 18 29 33 34 38 39 46],"[7.0, 11.0]",1,5
112,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[34 43 55 56 95],[ 0  2  8  9 14 16 18 30 33 34 38 42 46],"[5.0, 13.0]",2,5
113,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 56 63 67 83 95],[ 5  8 17 21 27 30 33 38],"[6.0, 8.0]",3,5
