,c_nodes,row,v_nodes,sim_index,snr,bias_bits,ts_size
311,[14 18 23 24 35 39 44 45 46],63,[ 4 24 28 33 43 63 75],0,2,"[4.0, 14.0, 20.0, 24.0, 28.0, 33.0, 37.0, 43.0, 63.0, 67.0, 74.0, 75.0, 81.0, 83.0]","[7.0, 9.0]"
312,[ 2  9 16 18 21 24 35 36 39 44 45 46],63,[ 4 14 24 33 63 67 75 81],1,2,"[4.0, 14.0, 20.0, 24.0, 28.0, 33.0, 37.0, 43.0, 63.0, 67.0, 74.0, 75.0, 81.0, 83.0]","[8.0, 12.0]"
313,[ 5  6  8 21 23 28 38],64,[28 37 50],0,2,"[8.0, 28.0, 29.0, 37.0, 39.0, 50.0, 64.0, 81.0, 84.0]","[3.0, 7.0]"
314,[14 21 26 28 38],64,[29 50 81],1,2,"[8.0, 28.0, 29.0, 37.0, 39.0, 50.0, 64.0, 81.0, 84.0]","[3.0, 5.0]"
315,[ 0  9 10 20 43],65,[ 7 21 31],0,2,"[7.0, 21.0, 31.0, 38.0, 42.0, 48.0, 65.0, 91.0]","[3.0, 5.0]"
316,[10 28 34 43 44],65,[31 38 42 65 91],1,2,"[7.0, 21.0, 31.0, 38.0, 42.0, 48.0, 65.0, 91.0]","[5.0, 5.0]"
317,[ 1  6 14 15 30 31],66,[22 46 57 86],1,2,"[18.0, 22.0, 46.0, 57.0, 66.0, 86.0]","[4.0, 6.0]"
318,[ 5  8 17 18 33 36],67,[14 67 83 95],0,2,"[4.0, 14.0, 19.0, 47.0, 48.0, 63.0, 67.0, 83.0, 95.0]","[4.0, 6.0]"
319,[ 0  5 14 18 27 30 33],67,[ 4 14 19 47 67],1,2,"[4.0, 14.0, 19.0, 47.0, 48.0, 63.0, 67.0, 83.0, 95.0]","[5.0, 7.0]"
320,[ 4 15 40 44],68,[ 1 57],1,2,"[1.0, 25.0, 32.0, 46.0, 57.0, 68.0, 82.0, 87.0, 94.0]","[2.0, 4.0]"
321,[10 11 12 19 24 31 32 36 40],69,[15 45 54],0,2,"[14.0, 15.0, 25.0, 33.0, 45.0, 53.0, 54.0, 69.0, 90.0]","[3.0, 9.0]"
322,[ 3  5 32 42],69,[14 45 53 90],1,2,"[14.0, 15.0, 25.0, 33.0, 45.0, 53.0, 54.0, 69.0, 90.0]","[4.0, 4.0]"
323,[ 0  2  3 14 18 21 25 30 44 45],70,[ 9 24 27 55 56 70],0,2,"[4.0, 9.0, 24.0, 27.0, 29.0, 34.0, 37.0, 43.0, 55.0, 56.0, 59.0, 70.0]","[6.0, 10.0]"
324,[ 3  8 16 18 21 25 26 30 34 38 44 45],70,[ 4  9 24 27 29 43 56 70],1,2,"[4.0, 9.0, 24.0, 27.0, 29.0, 34.0, 37.0, 43.0, 55.0, 56.0, 59.0, 70.0]","[8.0, 12.0]"
325,[ 3 13 22 31 42 43],71,[16 49],0,2,"[10.0, 11.0, 13.0, 16.0, 31.0, 49.0, 71.0, 86.0]","[2.0, 6.0]"
326,[ 3  6 10 20 22 30 42],71,[10 11 49],1,2,"[10.0, 11.0, 13.0, 16.0, 31.0, 49.0, 71.0, 86.0]","[3.0, 7.0]"
327,[ 0 15 16 18 27 29 39 40],72,[ 0  5 19 46 72 95],0,2,"[0.0, 5.0, 19.0, 32.0, 46.0, 52.0, 57.0, 72.0, 89.0, 95.0]","[6.0, 8.0]"
328,[ 1  7  9 15 16 18 27 29 41 44],72,[ 5 52 89 95],1,2,"[0.0, 5.0, 19.0, 32.0, 46.0, 52.0, 57.0, 72.0, 89.0, 95.0]","[4.0, 10.0]"
329,[11 12 37 40],73,[25 73],0,2,"[3.0, 12.0, 15.0, 25.0, 26.0, 30.0, 38.0, 73.0, 88.0]","[2.0, 4.0]"
330,[ 7 11 12 13 21 24 37 40 41 47],73,[ 3 12 15 30 73 88],1,2,"[3.0, 12.0, 15.0, 25.0, 26.0, 30.0, 38.0, 73.0, 88.0]","[6.0, 10.0]"
331,[ 3  6  8 14 21 26 38 39],74,[ 8 37 74 81],0,2,"[8.0, 29.0, 33.0, 37.0, 48.0, 50.0, 63.0, 74.0, 81.0, 83.0]","[4.0, 8.0]"
332,[ 8 17 46],74,[83],1,2,"[8.0, 29.0, 33.0, 37.0, 48.0, 50.0, 63.0, 74.0, 81.0, 83.0]","[1.0, 3.0]"
333,[ 2  5 15 16 35 36 44],75,[14 33 59 75 89],0,2,"[14.0, 33.0, 43.0, 59.0, 63.0, 75.0, 89.0]","[5.0, 7.0]"
334,[15 16 21 24 35 36 46],75,[14 33 63 75 89],1,2,"[14.0, 33.0, 43.0, 59.0, 63.0, 75.0, 89.0]","[5.0, 7.0]"
335,[ 3 12 13 20 22 29 33 35 40 41 43],76,[ 8 36 49 52 60 76 82],0,2,"[8.0, 11.0, 30.0, 36.0, 49.0, 52.0, 60.0, 76.0, 82.0]","[7.0, 11.0]"
336,[ 3 13 16 26 33 41],76,[30 36 60 76],1,2,"[8.0, 11.0, 30.0, 36.0, 49.0, 52.0, 60.0, 76.0, 82.0]","[4.0, 6.0]"
337,[ 8 21 28 29 43],77,[31 50 77 81 85],0,2,"[7.0, 22.0, 24.0, 31.0, 35.0, 41.0, 50.0, 77.0, 81.0, 85.0, 93.0]","[5.0, 5.0]"
338,[ 8 10 43 47],77,[24 31 50 77 81 93],1,2,"[7.0, 22.0, 24.0, 31.0, 35.0, 41.0, 50.0, 77.0, 81.0, 85.0, 93.0]","[6.0, 4.0]"
339,[ 7 15 19 25],78,[12 23],0,2,"[12.0, 23.0, 53.0, 78.0, 92.0]","[2.0, 4.0]"
340,[11 15 19 27],78,[12 23 53 78],1,2,"[12.0, 23.0, 53.0, 78.0, 92.0]","[4.0, 4.0]"
341,[ 0 22 47],79,[79],0,2,"[7.0, 12.0, 13.0, 35.0, 61.0, 79.0, 91.0, 93.0]","[1.0, 3.0]"
342,[19 22 45 47],79,[35 79],1,2,"[7.0, 12.0, 13.0, 35.0, 61.0, 79.0, 91.0, 93.0]","[2.0, 4.0]"
343,[ 0 24 41],80,[80],0,2,"[15.0, 30.0, 80.0]","[1.0, 3.0]"
344,[18 21 23 26 29 30 34 35 39 45],81,[ 4 22 28 37 50 56 63 64 74 77],0,2,"[0.0, 4.0, 22.0, 24.0, 28.0, 37.0, 50.0, 56.0, 63.0, 64.0, 74.0, 77.0, 81.0]","[10.0, 10.0]"
345,[ 5 14 18 21 23 26 29 30 34 46],81,[ 4 22 28 37 56 64],1,2,"[0.0, 4.0, 22.0, 24.0, 28.0, 37.0, 50.0, 56.0, 63.0, 64.0, 74.0, 77.0, 81.0]","[6.0, 10.0]"
346,[ 1 14 20 23 33 40 41 47],82,[32 41 46 52],0,2,"[12.0, 15.0, 25.0, 32.0, 41.0, 46.0, 52.0, 60.0, 68.0, 76.0, 82.0]","[4.0, 8.0]"
347,[ 4  7 11 14 33 40],82,[12 25 32 41 68 82],1,2,"[12.0, 15.0, 25.0, 32.0, 41.0, 46.0, 52.0, 60.0, 68.0, 76.0, 82.0]","[6.0, 6.0]"
348,[ 5  8 14 18 21 27 35],83,[ 4 48 63 67 83],0,2,"[2.0, 4.0, 29.0, 34.0, 48.0, 63.0, 67.0, 74.0, 83.0]","[5.0, 7.0]"
349,[ 9 27 46],83,[67],1,2,"[2.0, 4.0, 29.0, 34.0, 48.0, 63.0, 67.0, 74.0, 83.0]","[1.0, 3.0]"
350,[ 3  5  8 18 23 24 26 31 39 41 42],84,[ 8 16 28 33 34 36 84],0,2,"[8.0, 14.0, 16.0, 28.0, 29.0, 33.0, 34.0, 36.0, 53.0, 64.0, 84.0]","[7.0, 11.0]"
351,[ 3  5  6  8 18 24 26 27 36 39],84,[ 8 14 33 34 64 84],1,2,"[8.0, 14.0, 16.0, 28.0, 29.0, 33.0, 34.0, 36.0, 53.0, 64.0, 84.0]","[6.0, 10.0]"
352,[ 0 10 14 19 28 29 45],85,[35 77 85],0,2,"[13.0, 22.0, 31.0, 35.0, 42.0, 54.0, 77.0, 85.0]","[3.0, 7.0]"
353,[ 0 13 22 29 36 45],85,[13 35 54 85],1,2,"[13.0, 22.0, 31.0, 35.0, 42.0, 54.0, 77.0, 85.0]","[4.0, 6.0]"
354,[13 14 38 43],86,[56 71],0,2,"[11.0, 18.0, 22.0, 37.0, 56.0, 66.0, 71.0, 86.0]","[2.0, 4.0]"
355,[21 31 35 38],86,[18 37 66 86],1,2,"[11.0, 18.0, 22.0, 37.0, 56.0, 66.0, 71.0, 86.0]","[4.0, 4.0]"
356,[ 4 11 35 40],87,[25 87],0,2,"[17.0, 25.0, 54.0, 68.0, 87.0]","[2.0, 4.0]"
357,[ 4 10 11 22 40],87,[17 25 54],1,2,"[17.0, 25.0, 54.0, 68.0, 87.0]","[3.0, 5.0]"
358,[ 1 12 16 26 33 37],88,[ 5 30 36 88],0,2,"[5.0, 13.0, 30.0, 36.0, 51.0, 62.0, 73.0, 88.0]","[4.0, 6.0]"
359,[12 26 33 37 41],88,[ 5 30 51],1,2,"[5.0, 13.0, 30.0, 36.0, 51.0, 62.0, 73.0, 88.0]","[3.0, 5.0]"
360,[15 16 29 31 33 36 43],89,[ 1 14 44 72 75],0,2,"[1.0, 14.0, 19.0, 44.0, 57.0, 72.0, 75.0, 89.0]","[5.0, 7.0]"
361,[ 0  4 15 16 27 29 36 43 44],89,[14 19 44 72 75],1,2,"[1.0, 14.0, 19.0, 44.0, 57.0, 72.0, 75.0, 89.0]","[5.0, 9.0]"
362,[22 31 36 44],90,[ 1 17],0,2,"[1.0, 17.0, 27.0, 45.0, 49.0, 69.0, 90.0]","[2.0, 4.0]"
363,[18 22 43 44],90,[27 49],1,2,"[1.0, 17.0, 27.0, 45.0, 49.0, 69.0, 90.0]","[2.0, 4.0]"
364,[ 9 12 17 20 32 44],91,[21 42 65 91],0,2,"[7.0, 17.0, 21.0, 38.0, 42.0, 58.0, 60.0, 65.0, 79.0, 91.0]","[4.0, 6.0]"
365,[ 0  4  9 12 17 28 32 33 34 36],91,[ 7 17 21 38 60 91],1,2,"[7.0, 17.0, 21.0, 38.0, 42.0, 58.0, 60.0, 65.0, 79.0, 91.0]","[6.0, 10.0]"
366,[25 31 42 43],92,[44 45 53 58],0,2,"[39.0, 44.0, 45.0, 49.0, 53.0, 58.0, 78.0, 92.0]","[4.0, 4.0]"
367,[11 25 32 42 43],92,[44 53 58],1,2,"[39.0, 44.0, 45.0, 49.0, 53.0, 58.0, 78.0, 92.0]","[3.0, 5.0]"
368,[ 2 15 22 28 32 34],93,[ 7  9 23 79],0,2,"[7.0, 9.0, 23.0, 24.0, 40.0, 41.0, 77.0, 79.0, 93.0]","[4.0, 6.0]"
369,[ 2 14 22 28 32 45],93,[ 7 77 79 93],1,2,"[7.0, 9.0, 23.0, 24.0, 40.0, 41.0, 77.0, 79.0, 93.0]","[4.0, 6.0]"
370,[23 26 29 30 35 37 38 40],94,[18 46 51 94],0,2,"[5.0, 6.0, 18.0, 29.0, 32.0, 46.0, 51.0, 56.0, 68.0, 94.0]","[4.0, 8.0]"
371,[ 4  7 23 29 33 37 38 41],94,[ 6 29 32 46 51 68],1,2,"[5.0, 6.0, 18.0, 29.0, 32.0, 46.0, 51.0, 56.0, 68.0, 94.0]","[6.0, 8.0]"
372,[ 0 14 20 27 32 34],95,[ 4 21 55 67],0,2,"[0.0, 4.0, 19.0, 21.0, 55.0, 60.0, 67.0, 72.0, 95.0]","[4.0, 6.0]"
373,[ 0  9 12 15 27 29 32 33],95,[19 21 60 72],1,2,"[0.0, 4.0, 19.0, 21.0, 55.0, 60.0, 67.0, 72.0, 95.0]","[4.0, 8.0]"
374,[18 29 33 39],0,[ 0 95],0,3,"[0.0, 22.0, 72.0, 81.0, 95.0]","[2.0, 4.0]"
375,[21 29 34 39],0,[22 81],1,3,"[0.0, 22.0, 72.0, 81.0, 95.0]","[2.0, 4.0]"
376,[10 11 22 25],1,[ 1 42 45 58],0,3,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]","[4.0, 4.0]"
377,[10 22 23 27 44],1,[ 1 42 57 68 89],1,3,"[1.0, 17.0, 27.0, 42.0, 44.0, 45.0, 57.0, 58.0, 68.0, 89.0, 90.0]","[5.0, 5.0]"
378,[ 7 15 17 28],2,[26 40],0,3,"[2.0, 26.0, 29.0, 40.0, 83.0]","[2.0, 4.0]"
379,[ 8 28 37 38 46],2,[ 2 40 83],1,3,"[2.0, 26.0, 29.0, 40.0, 83.0]","[3.0, 5.0]"
380,[11 12 19 21],3,[ 3 73],1,3,"[3.0, 25.0, 73.0]","[2.0, 4.0]"
381,[ 0  5  9 18 21 30 33 34 38],4,[ 4 55 56 63 95],0,3,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]","[5.0, 9.0]"
382,[ 5 17 18 29 34 39 42],4,[22 34 63 81 83],1,3,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]","[5.0, 7.0]"
383,[15 20 26 29 33 37 41],5,[ 5 30 51 60 72],0,3,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]","[5.0, 7.0]"
384,[ 1  7 13 20 23 26 41],5,[30 32 51 60 88],1,3,"[5.0, 30.0, 32.0, 46.0, 51.0, 60.0, 72.0, 88.0, 94.0]","[5.0, 7.0]"
385,[ 7 13 23 26 28 29 39 41],6,[ 6 36 50 52],0,3,"[6.0, 28.0, 29.0, 32.0, 36.0, 50.0, 52.0, 61.0, 94.0]","[4.0, 8.0]"
386,[ 8 23 26 28 39 41 47],6,[36 50 61],1,3,"[6.0, 28.0, 29.0, 32.0, 36.0, 50.0, 52.0, 61.0, 94.0]","[3.0, 7.0]"
387,[ 0  2 10 14 17 19 32 47],7,[35 65 77 93],0,3,"[7.0, 31.0, 35.0, 65.0, 77.0, 79.0, 91.0, 93.0]","[4.0, 8.0]"
388,[ 0 10 12 22 43],7,[ 7 31 91],1,3,"[7.0, 31.0, 35.0, 65.0, 77.0, 79.0, 91.0, 93.0]","[3.0, 5.0]"
389,[ 3  8 21 24 26 30 37 42],8,[ 8 18 33 51 74 84],0,3,"[8.0, 18.0, 29.0, 33.0, 36.0, 39.0, 51.0, 64.0, 74.0, 76.0, 84.0]","[6.0, 8.0]"
390,[ 3  5  6 13 24 25 26 30 37 41],8,[18 33 36 39 51 64],1,3,"[8.0, 18.0, 29.0, 33.0, 36.0, 39.0, 51.0, 64.0, 74.0, 76.0, 84.0]","[6.0, 10.0]"
391,[25 28 34 47],9,[ 9 93],0,3,"[9.0, 23.0, 55.0, 70.0, 93.0]","[2.0, 4.0]"
392,[ 0  2 15 25 34 38 47],9,[23 55 70],1,3,"[9.0, 23.0, 55.0, 70.0, 93.0]","[3.0, 7.0]"
393,[10 28 30 31 42],10,[16 31 71],0,3,"[10.0, 16.0, 31.0, 47.0, 54.0, 71.0]","[3.0, 5.0]"
394,[10 30 42],10,[10],1,3,"[10.0, 16.0, 31.0, 47.0, 54.0, 71.0]","[1.0, 3.0]"
395,[ 3 20 22 30 34],11,[11 49 86],0,3,"[11.0, 49.0, 71.0, 76.0, 86.0]","[3.0, 5.0]"
396,[ 3 22 43],11,[49],1,3,"[11.0, 49.0, 71.0, 76.0, 86.0]","[1.0, 3.0]"
397,[ 0  7 11 19 20 23 33 45 47],12,[12 25 32 35 82],0,3,"[12.0, 23.0, 25.0, 26.0, 32.0, 35.0, 41.0, 61.0, 73.0, 78.0, 79.0, 82.0]","[5.0, 9.0]"
398,[ 7 11 12 13 14 22 23 25 37 42 45],12,[12 25 35 41 61 73 78 79 82],1,3,"[12.0, 23.0, 25.0, 26.0, 32.0, 35.0, 41.0, 61.0, 73.0, 78.0, 79.0, 82.0]","[9.0, 11.0]"
399,[10 13 16 19 29 30 37 43 45 47],13,[13 35 71 79 85 88],0,3,"[13.0, 35.0, 42.0, 49.0, 61.0, 62.0, 71.0, 79.0, 85.0, 88.0]","[6.0, 10.0]"
400,[ 0  3  6 13 23 29 37 43 44 45],13,[13 42 49 61 62 79 85 88],1,3,"[13.0, 35.0, 42.0, 49.0, 61.0, 62.0, 71.0, 79.0, 85.0, 88.0]","[8.0, 10.0]"
401,[ 4  5 15 16 21 22 46],14,[14 17 63 75 89],0,3,"[14.0, 17.0, 33.0, 44.0, 47.0, 53.0, 63.0, 67.0, 69.0, 75.0, 84.0, 89.0]","[5.0, 7.0]"
402,[ 4  5 21 22 27 30],14,[17 47 63 67],1,3,"[14.0, 17.0, 33.0, 44.0, 47.0, 53.0, 63.0, 67.0, 69.0, 75.0, 84.0, 89.0]","[4.0, 6.0]"
403,[ 0  7 12 16 33],15,[15 30 60 80 82],0,3,"[15.0, 25.0, 30.0, 60.0, 69.0, 73.0, 80.0, 82.0]","[5.0, 5.0]"
404,[ 0  7 12 16 19 24 33 37 40],15,[30 60 73 80 82],1,3,"[15.0, 25.0, 30.0, 60.0, 69.0, 73.0, 80.0, 82.0]","[5.0, 9.0]"
405,[ 5 13 41 42],16,[36 84],0,3,"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]","[2.0, 4.0]"
406,[ 5 31 41],16,[16 36 84],1,3,"[10.0, 16.0, 36.0, 45.0, 53.0, 71.0, 84.0]","[3.0, 3.0]"
407,[ 5 12 32 43],17,[14 17 44 91],0,3,"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]","[4.0, 4.0]"
408,[ 4  5 12 25 27 31 44],17,[ 1 14 17 58 91],1,3,"[1.0, 14.0, 17.0, 42.0, 44.0, 49.0, 54.0, 58.0, 87.0, 90.0, 91.0]","[5.0, 7.0]"
409,[ 3  9 23 26 30 31 34 35 36 38],18,[ 8 47 66 94],0,3,"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]","[4.0, 10.0]"
410,[14 17 35 36 38],18,[47 48 56],1,3,"[8.0, 18.0, 47.0, 48.0, 51.0, 56.0, 66.0, 86.0, 94.0]","[3.0, 5.0]"
411,[ 0 27 33 34 46],19,[55 67 95],0,3,"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]","[3.0, 5.0]"
412,[ 0 29 44],19,[19 72 89],1,3,"[19.0, 55.0, 67.0, 72.0, 89.0, 95.0]","[3.0, 3.0]"
413,[ 2  5  6 21 35 38 45],20,[20 33 37 43 62],0,3,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]","[5.0, 7.0]"
414,[21 24 38 46],20,[20 37],1,3,"[20.0, 33.0, 37.0, 43.0, 59.0, 62.0, 63.0]","[2.0, 4.0]"
415,[ 9 10 17 22 32 33],21,[21 60 65 91],0,3,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]","[4.0, 6.0]"
416,[12 20 33],21,[60],1,3,"[21.0, 48.0, 60.0, 65.0, 91.0, 95.0]","[1.0, 3.0]"
417,[ 6 30 34],22,[86],0,3,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]","[1.0, 3.0]"
418,[ 1 14 21 29 30 31 38 39],22,[22 56 66 81],1,3,"[0.0, 4.0, 22.0, 46.0, 55.0, 56.0, 66.0, 77.0, 81.0, 85.0, 86.0]","[4.0, 8.0]"
419,[ 7 28 37 42 47],23,[23 40 78],0,3,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]","[3.0, 5.0]"
420,[ 2 15 37 47],23,[40 93],1,3,"[9.0, 12.0, 23.0, 40.0, 78.0, 93.0]","[2.0, 4.0]"
421,[38 39 46 47],24,[37 43 62 77 81 93],0,3,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]","[6.0, 4.0]"
422,[ 5 14 18 21 39 45],24,[37 43 62 63 70 81],1,3,"[24.0, 37.0, 43.0, 62.0, 63.0, 70.0, 77.0, 81.0, 93.0]","[6.0, 6.0]"
423,[ 7 10 11 15 21 23 32 35 40 47],25,[ 3 12 15 45 54 57 68 69 73 87],0,3,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]","[10.0, 10.0]"
424,[ 4 12 21 23 24 31 32 36],25,[ 3 25 45 68 69 73],1,3,"[3.0, 12.0, 15.0, 25.0, 45.0, 54.0, 57.0, 68.0, 69.0, 73.0, 82.0, 87.0]","[6.0, 8.0]"
425,[12 15 17 19 34 37 38 47],26,[ 2 12 26 38],0,3,"[2.0, 12.0, 26.0, 38.0, 40.0, 73.0]","[4.0, 8.0]"
426,[ 7 12 34 37],26,[26 38],1,3,"[2.0, 12.0, 26.0, 38.0, 40.0, 73.0]","[2.0, 4.0]"
427,[ 2  4 10 18 22 31 38],27,[ 1 42 70],0,3,"[1.0, 27.0, 42.0, 49.0, 59.0, 70.0, 90.0]","[3.0, 7.0]"
428,[ 2  3 10 22 38],27,[27 42 70],1,3,"[1.0, 27.0, 42.0, 49.0, 59.0, 70.0, 90.0]","[3.0, 5.0]"
429,[14 23 46],28,[28 63 81],0,3,"[6.0, 28.0, 50.0, 63.0, 64.0, 81.0, 84.0]","[3.0, 3.0]"
430,[ 6  8 14 21 39 41 42],28,[ 6 28 64 81 84],1,3,"[6.0, 28.0, 50.0, 63.0, 64.0, 81.0, 84.0]","[5.0, 7.0]"
431,[ 3  6  8 13 17 21 23 26 35 37 41 46],29,[ 8 36 37 51 83 94],0,3,"[2.0, 6.0, 8.0, 29.0, 34.0, 36.0, 37.0, 50.0, 51.0, 64.0, 70.0, 74.0, 83.0, 84.0, 94.0]","[6.0, 12.0]"
432,[ 2  5 17 21 26 28 37 38 41 46],29,[ 6 34 37 50 51 64 70 83 84 94],1,3,"[2.0, 6.0, 8.0, 29.0, 34.0, 36.0, 37.0, 50.0, 51.0, 64.0, 70.0, 74.0, 83.0, 84.0, 94.0]","[10.0, 10.0]"
433,[ 0  3 13 16 19 24 33],30,[60 73 76 80 88],0,3,"[5.0, 15.0, 30.0, 36.0, 60.0, 73.0, 76.0, 80.0, 88.0]","[5.0, 7.0]"
434,[ 1 12 19 26 33 41],30,[ 5 36 73 88],1,3,"[5.0, 15.0, 30.0, 36.0, 60.0, 73.0, 76.0, 80.0, 88.0]","[4.0, 6.0]"
435,[10 13 42 43],31,[10 71],0,3,"[7.0, 10.0, 31.0, 42.0, 49.0, 65.0, 71.0, 77.0, 85.0]","[2.0, 4.0]"
436,[ 0  3 10 13 17 22 42 43],31,[ 7 10 31 49 65 71],1,3,"[7.0, 10.0, 31.0, 42.0, 49.0, 65.0, 71.0, 77.0, 85.0]","[6.0, 8.0]"
437,[ 1  8 15 23 38],32,[ 6 32 52 72 94],0,3,"[5.0, 6.0, 12.0, 32.0, 52.0, 60.0, 61.0, 68.0, 72.0, 82.0, 94.0]","[5.0, 5.0]"
438,[ 1  4  7 13 23 29 38 40 41 47],32,[52 61 68 94],1,3,"[5.0, 6.0, 12.0, 32.0, 52.0, 60.0, 61.0, 68.0, 72.0, 82.0, 94.0]","[4.0, 10.0]"
439,[ 5  6  8 21 46],33,[20 33 74],0,3,"[8.0, 14.0, 20.0, 33.0, 59.0, 63.0, 69.0, 74.0, 75.0, 84.0]","[3.0, 5.0]"
440,[ 3  6 11 16 24 26 36 44 46],33,[ 8 20 33 69 75],1,3,"[8.0, 14.0, 20.0, 33.0, 59.0, 63.0, 69.0, 74.0, 75.0, 84.0]","[5.0, 9.0]"
441,[ 2  5 17 18 42 46],34,[29 70 83 84],0,3,"[4.0, 29.0, 34.0, 70.0, 83.0, 84.0]","[4.0, 6.0]"
442,[ 8 17 18 26 38 42 46],34,[29 34 83],1,3,"[4.0, 29.0, 34.0, 70.0, 83.0, 84.0]","[3.0, 7.0]"
443,[ 7 14 19 22 28 29 36 45],35,[12 35 54 77 79 85],0,3,"[7.0, 12.0, 13.0, 35.0, 54.0, 77.0, 79.0, 85.0]","[6.0, 8.0]"
444,[ 7 10 14 22 28 29 45],35,[12 35 77 79 85],1,3,"[7.0, 12.0, 13.0, 35.0, 54.0, 77.0, 79.0, 85.0]","[5.0, 7.0]"
445,[ 8 12 16 20 23 26 35 41],36,[ 6  8 30 76],0,3,"[6.0, 8.0, 16.0, 29.0, 30.0, 36.0, 51.0, 61.0, 76.0, 84.0, 88.0]","[4.0, 8.0]"
446,[ 8 12 20 31 35 37 38 42],36,[ 8 16 29 30 76 88],1,3,"[6.0, 8.0, 16.0, 29.0, 30.0, 36.0, 51.0, 61.0, 76.0, 84.0, 88.0]","[6.0, 8.0]"
447,[ 2  8 18 21 35 38],37,[70 74],0,3,"[20.0, 24.0, 29.0, 37.0, 56.0, 62.0, 63.0, 64.0, 70.0, 74.0, 81.0, 86.0]","[2.0, 6.0]"
448,[ 2  5 14 18 26 30 38 39 46],37,[37 56 63 64 70],1,3,"[20.0, 24.0, 29.0, 37.0, 56.0, 62.0, 63.0, 64.0, 70.0, 74.0, 81.0, 86.0]","[5.0, 9.0]"
449,[12 17 19 22 32 34 37],38,[38 73 91],0,3,"[26.0, 38.0, 65.0, 73.0, 91.0]","[3.0, 7.0]"
450,[17 19 34 37],38,[38 73],1,3,"[26.0, 38.0, 65.0, 73.0, 91.0]","[2.0, 4.0]"
451,[ 3 11 39 43],39,[39 92],0,3,"[8.0, 39.0, 49.0, 64.0, 92.0]","[2.0, 4.0]"
452,[11 25 43],39,[92],1,3,"[8.0, 39.0, 49.0, 64.0, 92.0]","[1.0, 3.0]"
453,[15 25 47],40,[23],0,3,"[2.0, 23.0, 26.0, 40.0, 93.0]","[1.0, 3.0]"
454,[ 2 28 47],40,[93],1,3,"[2.0, 23.0, 26.0, 40.0, 93.0]","[1.0, 3.0]"
455,[ 2  7 14 28 40],41,[41 82 93],0,3,"[12.0, 41.0, 77.0, 82.0, 93.0]","[3.0, 5.0]"
456,[ 7 14 19 20],41,[12 41],1,3,"[12.0, 41.0, 77.0, 82.0, 93.0]","[2.0, 4.0]"
457,[ 3  4 13 28 36 44 45],42,[13 17 31 42 49],0,3,"[1.0, 13.0, 17.0, 27.0, 31.0, 42.0, 49.0, 54.0, 65.0, 85.0, 91.0]","[5.0, 7.0]"
458,[ 4 22 28 31 43],42,[ 1 31 42],1,3,"[1.0, 13.0, 17.0, 27.0, 31.0, 42.0, 49.0, 54.0, 65.0, 85.0, 91.0]","[3.0, 5.0]"
459,[ 2  5  6 18 38 44 45],43,[62 70 75],0,3,"[4.0, 20.0, 24.0, 43.0, 59.0, 62.0, 63.0, 70.0, 75.0]","[3.0, 7.0]"
460,[ 2  6 14 16 18 24 46],43,[ 4 24 43 59 62 63 75],1,3,"[4.0, 20.0, 24.0, 43.0, 59.0, 62.0, 63.0, 70.0, 75.0]","[7.0, 7.0]"
461,[ 3 11 15 22 25 27 32 42 44],44,[44 49 53 58 89],0,3,"[1.0, 14.0, 17.0, 44.0, 49.0, 53.0, 58.0, 89.0, 92.0]","[5.0, 9.0]"
462,[15 22 25 31 32 36 43],44,[ 1 17 44 58 89],1,3,"[1.0, 14.0, 17.0, 44.0, 49.0, 53.0, 58.0, 89.0, 92.0]","[5.0, 7.0]"
463,[ 4 11 13 15 25 31 40 42],45,[16 45 57 58],0,3,"[1.0, 16.0, 25.0, 45.0, 53.0, 57.0, 58.0, 69.0, 90.0, 92.0]","[4.0, 8.0]"
464,[ 3  4 11 15 25 27 32 36 40 42],45,[53 57 58 90],1,3,"[1.0, 16.0, 25.0, 45.0, 53.0, 57.0, 58.0, 69.0, 90.0, 92.0]","[4.0, 10.0]"
