,c_nodes,row,v_nodes,sim_index,snr,bias_bits,ts_size
56,[ 2  3  5 13 17 21 37 46],29,[ 6  8 34 36 51 70 74 83 84 94],1,1,"[2.0, 6.0, 8.0, 29.0, 34.0, 36.0, 37.0, 50.0, 51.0, 64.0, 70.0, 74.0, 83.0, 84.0, 94.0]","[10.0, 8.0]"
57,[ 0  3 12 16 19 24 33 37 41],30,[30 60 73 76 80],0,1,"[5.0, 15.0, 30.0, 36.0, 60.0, 73.0, 76.0, 80.0, 88.0]","[5.0, 9.0]"
58,[ 1  3 12 19 37],30,[ 5 30 60 73 76],1,1,"[5.0, 15.0, 30.0, 36.0, 60.0, 73.0, 76.0, 80.0, 88.0]","[5.0, 5.0]"
59,[ 3 14 22 29],31,[31 49 77 85],0,1,"[7.0, 10.0, 31.0, 42.0, 49.0, 65.0, 71.0, 77.0, 85.0]","[4.0, 4.0]"
60,[ 0  3 22 30 32 42],31,[ 7 10 31 49],1,1,"[7.0, 10.0, 31.0, 42.0, 49.0, 65.0, 71.0, 77.0, 85.0]","[4.0, 6.0]"
61,[ 7  8 13 16 38 41 47],32,[ 5  6 32 61 94],0,1,"[5.0, 6.0, 12.0, 32.0, 52.0, 60.0, 61.0, 68.0, 72.0, 82.0, 94.0]","[5.0, 7.0]"
62,[ 4 12 13 16 19 20 33 38 40],32,[ 5 12 32 60 61 68 94],1,1,"[5.0, 6.0, 12.0, 32.0, 52.0, 60.0, 61.0, 68.0, 72.0, 82.0, 94.0]","[7.0, 9.0]"
63,[ 2  6 24 26 35 42 44 46],33,[20 33 59 84],0,1,"[8.0, 14.0, 20.0, 33.0, 59.0, 63.0, 69.0, 74.0, 75.0, 84.0]","[4.0, 8.0]"
64,[ 2 11 16 27],33,[14 59 69 75],1,1,"[8.0, 14.0, 20.0, 33.0, 59.0, 63.0, 69.0, 74.0, 75.0, 84.0]","[4.0, 4.0]"
65,[ 2 17 18 26 46],34,[29 70 83],0,1,"[4.0, 29.0, 34.0, 70.0, 83.0, 84.0]","[3.0, 5.0]"
66,[ 8 17 46],34,[83],1,1,"[4.0, 29.0, 34.0, 70.0, 83.0, 84.0]","[1.0, 3.0]"
67,[ 0  7 10 14 19 29 32 47],35,[ 7 12 77 85],0,1,"[7.0, 12.0, 13.0, 35.0, 54.0, 77.0, 79.0, 85.0]","[4.0, 8.0]"
68,[ 0 13 45 47],35,[13 79],1,1,"[7.0, 12.0, 13.0, 35.0, 54.0, 77.0, 79.0, 85.0]","[2.0, 4.0]"
69,[ 3  5 26 31 35 41],36,[ 8 16 36 84],0,1,"[6.0, 8.0, 16.0, 29.0, 30.0, 36.0, 51.0, 61.0, 76.0, 84.0, 88.0]","[4.0, 6.0]"
70,[ 3 12 20 23 37 38],36,[ 6 29 30 36 76 88],1,1,"[6.0, 8.0, 16.0, 29.0, 30.0, 36.0, 51.0, 61.0, 76.0, 84.0, 88.0]","[6.0, 6.0]"
71,[ 2  6  8 14 16 18 21 30 39 45],37,[29 37 56 62 64 70],0,1,"[20.0, 24.0, 29.0, 37.0, 56.0, 62.0, 63.0, 64.0, 70.0, 74.0, 81.0, 86.0]","[6.0, 10.0]"
72,[ 5  8 16 18 24 30 34 35],37,[20 24 37 62 63 70 74 86],1,1,"[20.0, 24.0, 29.0, 37.0, 56.0, 62.0, 63.0, 64.0, 70.0, 74.0, 81.0, 86.0]","[8.0, 8.0]"
73,[ 7 12 19 22 32 34],38,[26 38 73 91],1,1,"[26.0, 38.0, 65.0, 73.0, 91.0]","[4.0, 6.0]"
74,[11 22 25 26 35],39,[ 8 49 92],0,1,"[8.0, 39.0, 49.0, 64.0, 92.0]","[3.0, 5.0]"
75,[ 2 25 37],40,[23 40 93],0,1,"[2.0, 23.0, 26.0, 40.0, 93.0]","[3.0, 3.0]"
