,v_nodes,ts_size,c_nodes,bias_bits,row,snr,sim_index
113,[ 4 18 56 81 86 94],"[6.0, 10.0]",[ 6 14 18 21 23 30 34 35 39 46],"[4.0, 18.0, 22.0, 37.0, 56.0, 70.0, 81.0, 86.0, 94.0]",56,10,1
114,[25 45 46 66],"[4.0, 4.0]",[19 29 32 34],"[1.0, 25.0, 45.0, 46.0, 57.0, 66.0, 68.0, 72.0, 89.0]",57,10,0
115,[ 1 25 57 72],"[4.0, 6.0]",[ 4 11 19 29 33 44],"[1.0, 25.0, 45.0, 46.0, 57.0, 66.0, 68.0, 72.0, 89.0]",57,10,1
116,[ 1 17 44 91 92],"[5.0, 9.0]",[ 4 11 12 25 27 31 32 36 44],"[1.0, 17.0, 44.0, 45.0, 58.0, 91.0, 92.0]",58,10,0
117,[ 1 17 44 91 92],"[5.0, 9.0]",[ 4 11 12 25 27 31 32 36 44],"[1.0, 17.0, 44.0, 45.0, 58.0, 91.0, 92.0]",58,10,1
118,[27 33 59 70],"[4.0, 4.0]",[ 3  5 35 38],"[20.0, 27.0, 33.0, 43.0, 59.0, 70.0, 75.0]",59,10,0
119,[27 33 59 70],"[4.0, 4.0]",[ 3  5 35 38],"[20.0, 27.0, 33.0, 43.0, 59.0, 70.0, 75.0]",59,10,1
120,[ 5 15 21 32 60 76 82 95],"[8.0, 8.0]",[ 1  3 16 18 23 24 32 41],"[5.0, 15.0, 21.0, 30.0, 32.0, 60.0, 76.0, 82.0, 91.0, 95.0]",60,10,0
121,[ 5 15 21 32 60 76 82 95],"[8.0, 8.0]",[ 1  3 16 18 23 24 32 41],"[5.0, 15.0, 21.0, 30.0, 32.0, 60.0, 76.0, 82.0, 91.0, 95.0]",60,10,1
122,[32 61 79],"[3.0, 5.0]",[ 0  7 13 22 33],"[6.0, 12.0, 13.0, 32.0, 36.0, 61.0, 79.0]",61,10,0
123,[12 13 32 36 61 79],"[6.0, 8.0]",[ 0 13 19 26 33 41 45 47],"[6.0, 12.0, 13.0, 32.0, 36.0, 61.0, 79.0]",61,10,1
124,[13 24 43 62 88],"[5.0, 7.0]",[ 6 16 21 22 37 45 46],"[13.0, 20.0, 24.0, 37.0, 43.0, 62.0, 88.0]",62,10,0
125,[13 24 43 62 88],"[5.0, 7.0]",[ 6 16 21 22 37 45 46],"[13.0, 20.0, 24.0, 37.0, 43.0, 62.0, 88.0]",62,10,1
126,[24 33 43 63 74 81 83],"[7.0, 7.0]",[14 16 17 24 39 45 46],"[4.0, 14.0, 20.0, 24.0, 28.0, 33.0, 37.0, 43.0, 63.0, 67.0, 74.0, 75.0, 81.0, 83.0]",63,10,0
