,ts_size,snr,row,c_nodes,v_nodes,sim_index
167,"[9.0, 7.0]",10,83,[ 5 14 15 17 26 27 42],[ 2  4 29 34 48 63 67 74 83],1
168,"[11.0, 11.0]",10,84,[ 3  6 11 18 23 24 26 31 36 38 41],[ 8 14 16 28 29 33 34 36 53 64 84],0
169,"[11.0, 11.0]",10,84,[ 3  6 11 18 23 24 26 31 36 38 41],[ 8 14 16 28 29 33 34 36 53 64 84],1
170,"[8.0, 6.0]",10,85,[ 0 13 34 36 43 44],[13 22 31 35 42 54 77 85],0
171,"[8.0, 6.0]",10,85,[ 0 13 34 36 43 44],[13 22 31 35 42 54 77 85],1
172,"[8.0, 8.0]",10,86,[ 6 13 20 21 29 31 34 35],[11 18 22 37 56 66 71 86],0
173,"[8.0, 8.0]",10,86,[ 6 13 20 21 29 31 34 35],[11 18 22 37 56 66 71 86],1
174,"[5.0, 7.0]",10,87,[ 4 10 11 19 22 23 35],[17 25 54 68 87],0
175,"[5.0, 7.0]",10,87,[ 4 10 11 19 22 23 35],[17 25 54 68 87],1
176,"[8.0, 6.0]",10,88,[ 6 13 19 22 33 37],[ 5 13 30 36 51 62 73 88],0
177,"[8.0, 6.0]",10,88,[ 6 13 19 22 33 37],[ 5 13 30 36 51 62 73 88],1
178,"[8.0, 8.0]",10,89,[ 0 15 16 29 36 40 43 44],[ 1 14 19 44 57 72 75 89],0
179,"[8.0, 8.0]",10,89,[ 0 15 16 29 36 40 43 44],[ 1 14 19 44 57 72 75 89],1
180,"[7.0, 7.0]",10,90,[ 3 18 24 31 32 36 43],[ 1 17 27 45 49 69 90],0
181,"[7.0, 7.0]",10,90,[ 3 18 24 31 32 36 43],[ 1 17 27 45 49 69 90],1
182,"[9.0, 9.0]",10,91,[ 9 17 25 28 32 33 36 44 47],[ 7 17 21 42 58 60 65 79 91],0
183,"[10.0, 10.0]",10,91,[ 9 12 25 28 32 33 34 36 44 47],[ 7 17 21 38 42 58 60 65 79 91],1
184,"[8.0, 6.0]",10,92,[ 7 11 22 31 39 43],[39 44 45 49 53 58 78 92],0
185,"[8.0, 6.0]",10,92,[ 7 11 22 31 39 43],[39 44 45 49 53 58 78 92],1
186,"[9.0, 7.0]",10,93,[ 2 20 21 22 32 34 37],[ 7  9 23 24 40 41 77 79 93],0
187,"[9.0, 7.0]",10,93,[ 2 20 21 22 32 34 37],[ 7  9 23 24 40 41 77 79 93],1
188,"[10.0, 10.0]",10,94,[ 1  4  7 14 16 29 35 37 38 41],[ 5  6 18 29 32 46 51 56 68 94],0
189,"[10.0, 10.0]",10,94,[ 1  4  7 14 16 29 35 37 38 41],[ 5  6 18 29 32 46 51 56 68 94],1
190,"[9.0, 7.0]",10,95,[12 14 15 18 32 34 39],[ 0  4 19 21 55 60 67 72 95],0
191,"[9.0, 7.0]",10,95,[12 14 15 18 32 34 39],[ 0  4 19 21 55 60 67 72 95],1
